"ranks","titles","ratings","people","episode","year"
"1"," Breaking Bad","9.5"," (2.2M)","62 eps","2008–2013"
"2"," Planet Earth II","9.5"," (162K)","6 eps","2016"
"3"," Planet Earth","9.4"," (223K)","11 eps","2006"
"4"," Band of Brothers","9.4"," (544K)","10 eps","2001"
"5"," Chernobyl","9.3"," (904K)","5 eps","2019"
"6"," The Wire","9.3"," (389K)","60 eps","2002–2008"
"7"," Avatar: The Last Airbender","9.3"," (388K)","62 eps","2005–2008"
"8"," Blue Planet II","9.3"," (48K)","7 eps","2017"
"9"," The Sopranos","9.2"," (496K)","86 eps","1999–2007"
"10"," Cosmos: A Spacetime Odyssey","9.2"," (131K)","13 eps","2014"
"11"," Cosmos","9.3"," (45K)","13 eps","1980"
"12"," Our Planet","9.2"," (53K)","12 eps","2019–2023"
"13"," Game of Thrones","9.2"," (2.4M)","74 eps","2011–2019"
"14"," Bluey","9.3"," (33K)","194 eps","2018– "
"15"," The World at War","9.2"," (31K)","26 eps","1973–1974"
"16"," Fullmetal Alchemist Brotherhood","9.1"," (207K)","68 eps","2009–2010"
"17"," Rick and Morty","9.1"," (625K)","78 eps","2013– "
"18"," Life","9.1"," (43K)","11 eps","2009"
"19"," The Last Dance","9.1"," (159K)","10 eps","2020"
"20"," The Twilight Zone","9.0"," (96K)","156 eps","1959–1964"
"21"," The Vietnam War","9.1"," (29K)","10 eps","2017"
"22"," Sherlock","9.1"," (1M)","15 eps","2010–2017"
"23"," Attack on Titan","9.1"," (557K)","98 eps","2013–2023"
"24"," Batman: The Animated Series","9.0"," (121K)","85 eps","1992–1995"
"25"," The Office","9.0"," (744K)","188 eps","2005–2013"
